"fprd__Allow_row_creation__c","fprd__Allow_row_deletion__c","fprd__Complex_default_value__c","fprd__Complex_sections_descending_order__c","fprd__Complex_section_order_by__c","fprd__Default_value__c","fprd__Descending_order__c","fprd__DeveloperName__c","fprd__First_expanded__c","fprd__Full_width__c","fprd__Header_order__c","fprd__Header__c","fprd__Hidden__c","fprd__Important__c","fprd__Label__c","fprd__Lightning_component_api_name__c","fprd__Lightning_component_attributes__c","fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Lower_limit__c","fprd__Mandatory__c","fprd__Map_field__c","fprd__Max_complex_sections__c","fprd__Order__c","fprd__Product__r.Unique_id__c","fprd__Read_only__c","fprd__Related_map_fields__c","fprd__Section_name__c","fprd__Section_order__c","fprd__Table_default_value__c","fprd__Table_order_by__c","fprd__Table__c","fprd__Type__c","fprd__Upper_limit__c","fprd__Values_control_field__c","fprd__Version_from__c","fprd__Version_to__c","fprd__Visibility_condition__c","fprd__Visibility_control_field__c","fprd__Visibility_control_value__c","Name"
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00033","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","0240011","true","","Información general del producto","1.0","","","","text","","","","","","","","PC-000150"
"false","false","","false","","01","false","gipr_Origin_bank_PC00033","false","false","","false","false","false","Banco origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","0240011","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00033","Otros bancos","PC-000151"
"false","false","","false","","01","false","gipr_Origin_PC00033","false","false","","false","false","false","Origen","","","Nuevo flujo,Otros bancos","01,02","","false","gipr_Origin__c","","3.0","0240011","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000152"
"false","false","","false","","","false","Importe_PC00033","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","0240011","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000153"
"false","false","","false","","02","false","gipr_Physical_token_PC00050","false","false","","false","false","false","Token físico","","","Si,No","01,02","","false","gipr_Physical_token__c","","3.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Request_PC00050","Contratación,Upgrade,Downgrade","PC-000154"
"false","false","","false","","01","false","gipr_Request_PC00050","false","false","","false","false","false","Requerimiento","","","Contratación,Upgrade,Downgrade,Uso,T-Cambio","01,02,03,04,05","","false","gipr_Request__c","","1.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000155"
"false","false","","false","","03","false","gipr_Version_PC00050","false","false","","false","false","false","Versión","","","Gratuita,Negocios,Empresas,Premium","01,02,03,04","","false","gipr_Version__c","","2.0","21","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Request_PC00050","Contratación,Upgrade,Downgrade","PC-000156"
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00047","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","08","true","","Información general del producto","1.0","","","","text","","","","","","","","PC-000157"
"false","false","","false","","01","false","gipr_Origin_bank_PC00047","false","false","","false","false","false","Banco Origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","08","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00047","Otros bancos","PC-000158"
"false","false","","false","","01","false","gipr_Origin_PC00047","false","false","","false","false","false","Origen","","","Nuevo flujo,Otros bancos","01,02","","false","gipr_Origin__c","","3.0","08","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000159"
"false","false","","false","","","false","Importe_PC00047","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","08","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000160"
"false","false","","false","","01","false","gipr_Origin_bank_PC00048","false","false","","false","false","false","Banco Origen","","","BCP,Scotiabank,Interbank,BIF,Banco Financiero,Otros","01,02,03,04,05,06","","false","gipr_Origin_bank__c","","4.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","gipr_Origin_PC00048","Migración","PC-000161"
"false","false","","false","","03","false","gipr_Origin_PC00048","false","false","","false","false","false","Origen","","","Incremento,Migración","03,04","","false","gipr_Origin__c","","3.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000162"
"false","false","","false","","","false","gipr_Quantity_PC00048","false","false","","false","false","false","Cantidad","","","","","","false","gipr_Quantity__c","","1.0","09","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000163"
"false","false","","false","","02","false","gipr_Type_of_assets_PC00048","false","false","","false","false","false","Tipo de haberes","","","Decisores,Calificados,No calificados","01,02,03","","false","gipr_Type_of_assets__c","","2.0","09","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000164"
"false","false","","false","","","false","gipr_OppIsoCurrency_PC00058","false","false","","false","false","false","Moneda","","","","","","false","gipr_OppIsoCurrency__c","","2.0","PC00040","true","","Información general del producto","1.0","","","","text","","","","","","","","PC-000165"
"false","false","","false","","","false","Importe_PC00058","false","false","","false","false","false","Importe","","","","","","false","UnitPrice","","1.0","PC00040","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000166"
"false","false","","false","","04","false","gipr_Type_PC00058","false","false","","false","false","false","Tipo","","","Nuevo,Renovación con incremento,Renovación con reducción,Renovación mismo importe","01,02,03,04","","false","gipr_Type__c","","3.0","PC00040","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000167"
